"Story","Title","Result","Date","Stability","Duration (s)"
"Register tests","Unsuccessful login","SUCCESS","2023-05-11T17:14:43.7260556+03:00[Europe/Bucharest]","0.0","37.09"
"Register tests","Successful login","SUCCESS","2023-05-11T17:15:21.0961901+03:00[Europe/Bucharest]","0.0","23.42"
