"Story","Title","Result","Date","Stability","Duration (s)"
"Register tests","Unsuccessful login","SUCCESS","2023-05-11T17:14:43.7260556+03:00[Europe/Bucharest]","0.0","37.09"
"Regression test","Login add wishlist remove wishlist logout","SUCCESS","2023-05-11T17:15:44.6638421+03:00[Europe/Bucharest]","0.0","34.19"
